,College Code,College Name,Zone,Group,Category Name,University,District,1st year,Total No of students
68,4120,Sri Krishna Engineering College,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,22,79
69,4121,SRI KRISHNA INSTITUTE OF TECHNOLOGY,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,1,52
70,4123,SRI RAMANUJAR ENGINEERING COLLEGE,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,179,673
71,4126,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,131,456
72,4127,Tagore Engineering College ,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,237,685
73,4129,VI INSTITUTE OF TECHNOLOGY,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,0,88
74,4130,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,84,431
75,4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,296,1024
76,4203,A.R. ENGINEERING COLLEGE,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,68,257
77,4204,ADHIPARASAKTHI ENGINEERING COLLEGE,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,256,967
78,4206,ANNAI TERESA COLLEGE OF ENGINEERING,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,78,648
79,4207,C.K. COLLEGE OF ENGINEERING & TECHNOLOGY,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,317,1119
80,4208,Chendu College of Engineering and Technology,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,15,144
81,4210,Quannta school of software engineering,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,24,24
82,4212,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,348,1090
83,4213,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,247,864
84,4216,Mailam engineering college,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,663,1902
85,4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,123,216
86,4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,62,439
87,4221,St. Anne's College of Engineering and Technology,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,170,508
88,4222,Surya Group of Institutions ,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,184,693
89,4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,141,490
90,4224,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",Zone V : Tindivanam,2.0,University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,188,663
91,4225,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",Zone XXI : Villupuram,5.0,University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,186,855
92,4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,Zone XXI : Villupuram,5.0,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,187,751
93,4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,272,820
94,5101,Adhiparasakthi College of Engineering,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,166,493
95,5102,ANNAMALAIAR COLLEGE OF ENGINEERING,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,30,392
96,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,17,241
97,5104,Arunai Engineering College,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,563,1784
98,5105,Bharathidasan Engineering College ,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,244,621
99,5106,C.  Abdul Hakeem college of engineering and technology,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,324,1010
100,5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,170,442
101,5109,Global Institute of Engineering and Technology,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,260,903
102,5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,6,59
103,5113,KINGSTON ENGINEERING COLLEGE,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,327,926
104,5114,OXFORD COLLEGE OF ENGINEERING,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,38,328
105,5115,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,270,781
106,5117,Pallavan College of Engineering,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,19,222
107,5118,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,115,286
108,5119,Priyadarshi Engineering college,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUPATTUR,200,677
109,5121,RANIPPETTAI ENGINEERING COLLEGE,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,5,101
110,5122,S.K.P. ENGINEERING COLLEGE,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,161,436
111,5126,SREE KRISHNA COLLEGE OF ENGINEERING,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,VELLORE,10,362
112,5127,SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,174,682
113,5131,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,Zone VI : Arni,2.0,Government College,ANNA UNIVERSITY,VELLORE,379,1596
114,5132,THIRUMALAI ENGINEERING COLLEGE,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,135,672
115,5133,University College of Engineering ARNI,Zone VI : Arni,2.0,University Constituent Colleges,ANNA UNIVERSITY,TIRUVANNAMALAI,142,616
116,5134,University College of Engineering kanchipuram,Zone II : Chennai-II,1.0,University Constituent Colleges,ANNA UNIVERSITY,KANCHEEPURAM,189,871
117,5135,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VI : Arni,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,RANIPET,189,577
118,6102,ANNAPOORANA ENGINEERING COLLEGE,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,245,1112
119,6105,Dhirajlal Gandhi College of Technology,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,430,1470
120,6107,GOVERNMENT COLLEGE OF ENGINEERING - BARGUR,Zone VII : Dharmapuri,2.0,Government College,ANNA UNIVERSITY,KRISHNAGIRI,222,907
121,6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KRISHNAGIRI,662,1754
122,6109,JAYALAKSHMI INSTITUTE OF TECHNOLOGY,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,229,1486
123,6110,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,125,1000
124,6112,KNOWLEDGE INSTITUTE OF TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,602,2341
125,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,243,736
126,6115,Mahindra Institute of Engineering & Technology,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,106,448
127,6117,NARASU'S SARATHY INSTITUTE OF TECHNOLOGY,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,331,898
128,6118,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KRISHNAGIRI,335,1076
129,6120,SAPTHAGIRI COLLEGE OF ENGINEERING,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,0,146
130,6122,"Sengunthar College of Engineering, Tiruchengode ",Zone XI : Erode,3.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,0,511
131,6124,Shree Sathyam College of Engineering and Technology ,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,157,325
132,6126,THE KAVERY COLLEGE OF ENGINEERING,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,0,145
133,6127,THE KAVERY ENGINEERING COLLEGE,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,707,1703
134,6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,174,879
135,6130,VIVEKANANDHA COLLEGE OF TECHNOLOGY FOR WOMEN,Zone XI : Erode,3.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,310,1074
136,6135,"Government College of Engineering, Dharmapuri",Zone VII : Dharmapuri,2.0,Government College,ANNA UNIVERSITY,DHARMAPURI,259,1038
137,6177,GOVERNMENT COLLEGE OF ENGINEERING - SALEM,Zone VIII : Salem,2.0,Government College,ANNA UNIVERSITY,SALEM,447,1908
138,6201,AVS Engineering College,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,567,1791
139,6202,Annai mathammal sheela Engineering college ,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,171,713
140,6203,Bharathiyar Institute of engineering for women,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,277,760
141,6205,CMS COLLEGE OF ENGINEERING ,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,218,324
142,6206,Ganesh College of Engineering,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,311,757
143,6207,GNANAMANI COLLEGE OF ENGINEERING,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,0,0
144,6208,GNANAMANI COLLEGE OF TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,1250,3069
145,6211,Idhaya Engineering College for Women,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,145,335
146,6214,MAHA BARATHI ENGINEERING COLLEGE,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,228,789
147,6215,MAHENDRA COLLEGE OF ENGINEERING,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,533,1346
148,6217,Muthayammal College of Engineering,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,217,826
149,6218,PGP COLLEGE OF ENGINEERING AND TECHNOLOGY ,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,166,359
150,6220,PAAVAI COLLEGE OF ENGINEERING,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,363,1012
151,6222,PAVAI COLLEGE OF TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,0,349
152,6224,SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,351,1226
153,6225,SELVAM COLLEGE OF TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,403,1074
154,6226,SHREENIVASA ENGINEERING COLLEGE,Zone VII : Dharmapuri,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,DHARMAPURI,207,674
155,6227,SRG ENGINEERING COLLEGE ,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,NAMAKKAL,70,464
156,6229,T.S.M. JAIN COLLEGE OF TECHNOLOGY,Zone XXI : Villupuram,5.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,9,550
157,6230,Tagore Institute of Engineering and Technology ,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,289,809
158,6231,VSA GROUP OF INSTITUTIONS,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,98,453
159,6233,VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUCHIRAPPALLI,114,251
160,6235,AVS COLLEGE OF TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,355,1033
161,6236,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,Zone VIII : Salem,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,SALEM,24,178
162,7100,"Anna University, Regional Campus Coimbatore",Zone IX : Coimbatore - I,3.0,University Regional Campus,ANNA UNIVERSITY,COIMBATORE,245,927
163,7101,ADITHYA INSTITUTE OF TECHNOLOGY,Zone IX : Coimbatore - I,3.0,Affilated Non - Autonomous,ANNA UNIVERSITY,COIMBATORE,246,718
