College Name,Zone,1st year,Total No of students
INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,Zone I : Chennai-I,52,234
INDRA GANESAN COLLEGE OF ENGINEERING,Zone XVIII : Trichy,249,627
INFANT JESUS COLLEGE OF ENGINEERING,Zone XX : Tirunelveli-II,20,60
INFO INSTITUTE OF ENGINEERING,Zone IX : Coimbatore - I,141,331
Idhaya Engineering College for Women,Zone XXI : Villupuram,145,335
J E I MATHAAJEE COLLEGE OF ENGINEERING,Zone VI : Arni,6,59
J N N INSTITUTE OF ENGINEERING,Zone I : Chennai-I,224,825
J P COLLEGE OF ENGINEERING,Zone XVI : Tirunelveli-I,222,901
J. K. K. NATARAJA COLLEGE OF ENGINEERING AND TECHNOLOGY ,Zone XI : Erode,137,514
J.J.College Of Engineering and Technology,Zone XVIII : Trichy,496,1068
JAI SHRIRAM ENGINEERING COLLEGE,Zone IX : Coimbatore - I,300,881
JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XV : Dindigul,9,22
JAIRUPAA COLLEGE OF ENGINEERING,Zone XI : Erode,4,120
JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone II : Chennai-II,10,118
JAYA ENGINEERING COLLEGE,Zone I : Chennai-I,260,977
JAYA INSTITUTE OF TECHNOLOGY,Zone I : Chennai-I,9,212
JAYA SAKTHI ENGINEERING COLLEGE,Zone I : Chennai-I,81,304
JAYALAKSHMI INSTITUTE OF TECHNOLOGY,Zone VII : Dharmapuri,229,1486
JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VII : Dharmapuri,125,1000
JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVIII : Trichy,9,315
JCT College of Engineering and Technology,Zone X : Coimbatore - II,458,1554
JEPPIAAR SRR ENGINEERING COLLEGE ,Zone III : Chennai-III,0,101
JKK MUNIRAJAH COLLEGE OF TECHNOLOGY ,Zone XI : Erode,175,464
Jansons Institute of Technology,Zone IX : Coimbatore - I,266,1008
Jawahar Engineering College,Zone III : Chennai-III,0,14
Jayamatha Engineering College,Zone XX : Tirunelveli-II,24,77
Jayaraj Annapackiam CSI College of Engineering,Zone XX : Tirunelveli-II,267,845
Jeppiaar Engineering College,Zone III : Chennai-III,504,1767
Jeppiaar Institute of technology,Zone II : Chennai-II,269,952
K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,Zone XI : Erode,435,1341
K.L.N.COLLEGE OF INFORMATION TECHNOLOGY,Zone XXII : Madurai,0,87
K.S.K COLLEGE OF ENGINEERING AND TECHNOLOGY ,Zone XIII : Pattukkottai,171,867
KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT,Zone XIV : Karaikudi,48,216
KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone V : Tindivanam,348,1090
KARPAGAM INSTITUTE OF TECHNOLOGY,Zone X : Coimbatore - II,429,1472
KATHIR COLLEGE OF ENGINEERING,Zone IX : Coimbatore - I,222,752
KCG College of Technology,Zone III : Chennai-III,593,2229
KGISL INSTITUTE OF TECHNOLOGY,Zone IX : Coimbatore - I,546,1781
KINGS ENGINEERING COLLEGE,Zone II : Chennai-II,665,2022
KINGSTON ENGINEERING COLLEGE,Zone VI : Arni,327,926
KNOWLEDGE INSTITUTE OF TECHNOLOGY,Zone VIII : Salem,602,2341
KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXI : Villupuram,247,864
KURINJI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVIII : Trichy,11,134
Kings College of Engineering,Zone XIII : Pattukkottai,296,947
LATHA MATHAVAN ENGINEERING COLLEGE,Zone XXII : Madurai,160,536
LORD JEGANNATH COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVII : Nagercoil,55,305
LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XVII : Nagercoil,67,175
LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone III : Chennai-III,379,1483
LOYOLA INSTITUTE OF TECHNOLOGY,Zone II : Chennai-II,279,1067
Loyola Institute of Technology and Science,Zone XVII : Nagercoil,365,1176
M R K INSTITUTE OF TECHNOLOGY,Zone XXI : Villupuram,311,1087
M.A.M College of Engineering,Zone XII : Ariyalur,513,1380
