College Name,College Code,Category Name,University,District,Zone,Group,Total No of students,1st year
P.R.ENGINEERING COLLEGE,8212,Affilated Non - Autonomous,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,158,57
Parisutham Institute of Technology and Science ,8213,Affilated Non - Autonomous,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,296,96
Prime College of Architecture & Planning ,8215,Architecture,ANNA UNIVERSITY,NAGAPATTINAM,Zone XIII : Pattukkottai,4.0,65,0
Sembodai Rukmani varatharajan engineering college,8216,Affilated Non - Autonomous,ANNA UNIVERSITY,NAGAPATTINAM,Zone XIII : Pattukkottai,4.0,73,6
Sir Issac Newton College of Engineering and Technology,8217,Affilated Non - Autonomous,ANNA UNIVERSITY,NAGAPATTINAM,Zone XIII : Pattukkottai,4.0,1026,299
SMR EAST COAST COLLEGE OF ENGINEERING AND TECHNOLOGY,8218,Affilated Non - Autonomous,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,15,0
"St.Joseph's College of Engineering and Technology , Thanjavur ",8219,Affilated Non - Autonomous,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,568,204
Star Lion College of Engineering and Technology,8220,Affilated Non - Autonomous,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,496,58
University College of Engineering Pattukkottai,8221,University Constituent Colleges,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,571,128
University College of Engineering Thirukkuvalai,8222,University Constituent Colleges,ANNA UNIVERSITY,NAGAPATTINAM,Zone XIII : Pattukkottai,4.0,433,119
VANDAYAR ENGINEERING COLLEGE,8223,Affilated Non - Autonomous,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,332,24
M R K INSTITUTE OF TECHNOLOGY,8224,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,1087,311
ARIFA INSTITUTE OF TECHNOLOGY,8226,Affilated Non - Autonomous,ANNA UNIVERSITY,NAGAPATTINAM,Zone XIII : Pattukkottai,4.0,358,114
"GOVERNMENT COLLEGE OF ENGINEERING, THANJAVUR",8227,Government College,ANNA UNIVERSITY,THANJAVUR,Zone XIII : Pattukkottai,4.0,1086,239
Government College of Engineering Srirangam ,8301,Government College,ANNA UNIVERSITY,TIRUCHIRAPPALLI,Zone XVIII : Trichy,5.0,1098,274
Anna University Regional Campus Madurai ,9100,University Regional Campus,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,869,218
CENTRAL ELECTROCHEMICAL RESEARCH INSTITUTE (CSIR) KARAIKUDI,9102,Affilated Non - Autonomous,ANNA UNIVERSITY,SIVAGANGAI,Zone XIV : Karaikudi,4.0,146,38
CHENDHURAN COLLEGE OF ENGINEERING AND TECHNOLOGY,9103,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XIV : Karaikudi,4.0,287,154
Fatima Michael College of engineering and technology ,9104,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XIV : Karaikudi,4.0,450,157
GANAPATHY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,9105,Affilated Non - Autonomous,ANNA UNIVERSITY,RAMANATHAPURAM,Zone XIV : Karaikudi,4.0,155,0
KLN College of engineering ,9106,Affilated Autonomous,ANNA UNIVERSITY,SIVAGANGAI,,,1894,459
K.L.N.COLLEGE OF INFORMATION TECHNOLOGY,9107,Affilated Non - Autonomous,ANNA UNIVERSITY,SIVAGANGAI,Zone XXII : Madurai,5.0,87,0
KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT,9108,Affilated Non - Autonomous,ANNA UNIVERSITY,SIVAGANGAI,Zone XIV : Karaikudi,4.0,216,48
LATHA MATHAVAN ENGINEERING COLLEGE,9110,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,536,160
MADURAI INSTITUTE OF ENGINEERING AND TECHNOLOGY,9111,Affilated Non - Autonomous,,SIVAGANGAI,Zone XXII : Madurai,5.0,137,0
MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,9112,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XIV : Karaikudi,4.0,674,67
MNSK ENGINEERING COLLEGE ,9114,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XIV : Karaikudi,4.0,109,10
MOHAMED SATHAK ENGINEERING COLLEGE,9115,Affilated Non - Autonomous,ANNA UNIVERSITY,RAMANATHAPURAM,Zone XIV : Karaikudi,4.0,1054,371
MOTHER TERASA COLLEGE OF ENGINEERING AND TECHNOLOGY,9116,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XIV : Karaikudi,4.0,426,125
MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,9117,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XIV : Karaikudi,4.0,1097,250
P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,9119,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,151,16
PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,9120,Affilated Non - Autonomous,ANNA UNIVERSITY,SIVAGANGAI,Zone XIV : Karaikudi,4.0,546,163
Solamalai College of Engineering,9122,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,515,153
SACS M.A.V.M.M ENGINEERING COLLEGE,9123,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,621,149
SHANMUGANATHAN ENGINEERING COLLEGE,9124,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XIV : Karaikudi,4.0,479,110
SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,9125,Affilated Non - Autonomous,ANNA UNIVERSITY,SIVAGANGAI,Zone XIV : Karaikudi,4.0,736,220
Sri Bharathi Engineering College for Women,9126,Affilated Non - Autonomous,ANNA UNIVERSITY,PUDUKKOTTAI,Zone XIV : Karaikudi,4.0,271,122
ST.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY,9127,Affilated Non - Autonomous,ANNA UNIVERSITY,SIVAGANGAI,Zone XIV : Karaikudi,4.0,462,183
Syed Ammal Engineering College,9128,Affilated Non - Autonomous,ANNA UNIVERSITY,RAMANATHAPURAM,Zone XIV : Karaikudi,4.0,673,218
ULTRA College of Engineering& Technology,9129,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,292,73
University College of Engineering Ramanathapuram,9130,University Constituent Colleges,ANNA UNIVERSITY,RAMANATHAPURAM,Zone XIV : Karaikudi,4.0,354,84
VELAMMAL COLLEGE OF ENGINEERING AND TECHNOLOGY,9131,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,2036,580
VICKRAM COLLEGE OF ENGINEERING,9132,Affilated Non - Autonomous,ANNA UNIVERSITY,SIVAGANGAI,Zone XIV : Karaikudi,4.0,12,0
Vaigai College of Engineering,9133,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,659,134
Alagappa Chettiar Government College of Engineering and Technology,9176,Government College,ANNA UNIVERSITY,SIVAGANGAI,Zone XIV : Karaikudi,4.0,1680,397
"Thiagarajar College of Engineering, Madurai",9177,Govt. Aided,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,1353,0
BHARATH NIKETAN ENGINEERING COLLEGE,9201,Affilated Non - Autonomous,ANNA UNIVERSITY,THENI,Zone XV : Dindigul,4.0,616,225
CHETTINAD COLLEGE OF ENGINEERING AND TECHNOLOGY,9202,Affilated Non - Autonomous,ANNA UNIVERSITY,KARUR,Zone XV : Dindigul,4.0,705,235
CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,9203,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,801,133
Kamaraj College of Engineering and Technology ,9204,Affilated Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,,,2964,567
M.KUMARASAMY COLLEGE OF ENGINEERING,9207,Affilated Autonomous,ANNA UNIVERSITY,KARUR,,,2686,0
N P R COLLEGE OF ENGINEERING AND TECHNOLOGY,9208,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,979,358
N.S.N. College of Engineering and Technology ,9209,Affilated Non - Autonomous,ANNA UNIVERSITY,KARUR,Zone XV : Dindigul,4.0,713,163
Nadar Saraswathi College of Engineering and Technology,9210,Affilated Non - Autonomous,ANNA UNIVERSITY,THENI,Zone XV : Dindigul,4.0,771,249
PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY,9213,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,3224,0
RVS EDUCATIONAL TRUSTS GROUP OF INSTITUTIONS,9214,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,500,114
R.V.S. College of Engineering,9215,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,508,133
SBM COLLEGE OF ENGINEERING AND TECHNOLOGY,9216,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,1427,207
SETHU INSTITUTE OF TECHNOLOGY,9217,Affilated Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,,,4281,1095
Sree Sowdambika College of Engineering Aruppukottai ,9218,Affilated Non - Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,Zone XXII : Madurai,5.0,576,130
SRI SUBRAMANYA COLLEGE OF ENGINEERING AND TECHNOLOGY,9219,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,39,12
Sri Vidya college of engineering and technology,9220,Affilated Non - Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,Zone XXII : Madurai,5.0,248,81
SSM INSTITUTE OF ENGINEERING AND TECHNOLOGY,9221,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,1121,293
Theni Kammavar Sangam College of Technology,9222,Affilated Non - Autonomous,ANNA UNIVERSITY,THENI,Zone XV : Dindigul,4.0,580,169
"UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL",9223,University Constituent Colleges,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,643,164
"V.S.B. ENGINEERING COLLEGE, KARUR",9225,Affilated Non - Autonomous,ANNA UNIVERSITY,KARUR,Zone XV : Dindigul,4.0,3545,991
"Arulmurugan College Of Engineering, Karur",9230,Affilated Non - Autonomous,ANNA UNIVERSITY,KARUR,Zone XV : Dindigul,4.0,287,40
GOVERNMENT COLLEGE OF ENGINEERING,9233,Government College,ANNA UNIVERSITY,THENI,Zone XV : Dindigul,4.0,1000,240
JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY,9236,Affilated Non - Autonomous,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,22,9
MANGAYARKARASI COLLEGE OF ENGINEERING,9238,Affilated Non - Autonomous,ANNA UNIVERSITY,MADURAI,Zone XXII : Madurai,5.0,1011,272
AGNI SCHOOL OF ARCHITECHTURE,9240,Architecture,ANNA UNIVERSITY,DINDIGUL,Zone XV : Dindigul,4.0,8,0
"ANNA UNIVERSITY REGIONAL CAMPUS, TIRUNELVELI",9500,University Regional Campus,ANNA UNIVERSITY,TIRUNELVELI,Zone XX : Tirunelveli-II,5.0,790,184
A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY,9501,Affilated Non - Autonomous,ANNA UNIVERSITY,TENKASI,Zone XVI : Tirunelveli-I,4.0,22,0
GRACE COLLEGE OF ENGINEERING,9503,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,435,178
Dr.G.U.Pope College of Engineering,9504,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,497,175
"Dr.Sivanthi Aditanar College of Engineering, Tiruchendur",9505,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,659,171
EINSTEIN COLLEGE OF ENGINEERING,9506,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XVI : Tirunelveli-I,4.0,796,226
FRANCIS XAVIER ENGINEERING COLLEGE,9507,Affilated Autonomous,ANNA UNIVERSITY,TIRUNELVELI,,,2388,616
Government College of Engineering,9508,Government College,ANNA UNIVERSITY,TIRUNELVELI,Zone XVI : Tirunelveli-I,4.0,1739,389
Holycross Engineering college ,9509,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,476,204
INFANT JESUS COLLEGE OF ENGINEERING,9510,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,60,20
J P COLLEGE OF ENGINEERING,9512,Affilated Non - Autonomous,ANNA UNIVERSITY,TENKASI,Zone XVI : Tirunelveli-I,4.0,901,222
Jayaraj Annapackiam CSI College of Engineering,9513,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,845,267
MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY,9516,Affilated Non - Autonomous,ANNA UNIVERSITY,TENKASI,Zone XVI : Tirunelveli-I,4.0,123,9
"Mepco Schlenk Engineering College, Sivakasi ",9517,Affilated Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,,,2749,1
NELLAI COLLEGE OF ENGINEERING,9518,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XX : Tirunelveli-II,5.0,309,92
P.S.R. ENGINEERING COLLEGE,9519,Affilated Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,,,1524,0
P.S.R.R COLLEGE OF ENGINEERING,9520,Affilated Non - Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,Zone XVI : Tirunelveli-I,4.0,259,150
PSN COLLEGE OF ENGINEERING AND TECHNOLOGY,9522,Affilated Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XVI : Tirunelveli-I,4.0,854,0
PSN ENGINEERING COLLEGE,9523,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XVI : Tirunelveli-I,4.0,683,160
PSN INSTITUTE OF TECHNOLOGY AND SCIENCE ,9524,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XVI : Tirunelveli-I,4.0,559,110
Renganayagi Varatharaj college of engineering ,9525,Affilated Non - Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,Zone XVI : Tirunelveli-I,4.0,343,118
S.VEERASAMY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,9526,Affilated Non - Autonomous,ANNA UNIVERSITY,TENKASI,Zone XVI : Tirunelveli-I,4.0,387,118
Sardar Raja College of Engineering,9527,Affilated Non - Autonomous,ANNA UNIVERSITY,TENKASI,Zone XVI : Tirunelveli-I,4.0,266,104
SCAD College of Engineering and Technology ,9528,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XVI : Tirunelveli-I,4.0,916,205
ST.MOTHER THERESA ENGINEERING COLLEGE,9530,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,613,137
THAMIRABHARANI ENGINEERING COLLEGE,9531,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XVI : Tirunelveli-I,4.0,755,226
"UNIVERSITY COLLEGE OF ENGINEERING, THOOTHUKUDI",9532,University Constituent Colleges,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,615,97
Unnamalai Institute of Technology,9533,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XVI : Tirunelveli-I,4.0,263,134
V V College of Engineering ,9534,Affilated Non - Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,Zone XX : Tirunelveli-II,5.0,770,225
V.P.MUTHAIAH PILLAI MEENAKSHI AMMAL ENGINEERING COLLEGE FOR WOMEN,9535,Affilated Non - Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,Zone XVI : Tirunelveli-I,4.0,36,0
RAMCO INSTITUTE OF TECHNOLOGY,9536,Affilated Non - Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,Zone XXII : Madurai,5.0,1584,590
AAA College of Engineering and Technology,9537,Affilated Non - Autonomous,ANNA UNIVERSITY,VIRUDHUNAGAR,Zone XXII : Madurai,5.0,894,252
National Engineering College(Autonomous),9576,Affilated Autonomous,ANNA UNIVERSITY,THOOTHUKUDI,,,1659,0
"ANNAI VAILANKANNI COLLEGE OF ENGINEERING, KANYAKUMARI ",9601,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,535,145
ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN,9602,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1357,409
BETHLAHEM INSTITUTE OF ENGINEERING,9603,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,625,144
C.S.I. INSTITUTE OF TECHNOLOGY,9604,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,386,158
CAPE INSTITUTE OF TECHNOLOGY,9605,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XX : Tirunelveli-II,5.0,1125,150
DMI ENGINEERING COLLEGE,9606,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XX : Tirunelveli-II,5.0,483,136
IMMANUEL ARASAR J J COLLEGE OF ENGINEERING,9607,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,26,6
Jayamatha Engineering College,9609,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XX : Tirunelveli-II,5.0,77,24
LORD JEGANNATH COLLEGE OF ENGINEERING AND TECHNOLOGY,9611,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,305,55
Loyola Institute of Technology and Science,9612,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1176,365
M.E.T. ENGINEERING COLLEGE,9613,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XX : Tirunelveli-II,5.0,368,133
MAR EPHRAEM COLLEGE OF ENGINEERING AND TECHNOLOGY,9614,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1072,286
MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY,9615,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,464,55
MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY,9616,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,656,124
NARAYANAGURU COLLEGE OF ENGINEERING,9617,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,315,82
PONJESLY COLLEGE OF ENGINEERING,9618,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1408,366
Rajas Institute of technology ,9619,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,208,54
SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,9620,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XX : Tirunelveli-II,5.0,849,144
SIVAJI COLLEGE OF ENGINEERING AND TECHNOLOGY,9621,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,185,62
St.Xavier's Catholic College of Engineering,9622,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1842,504
AMRITA COLLEGE OF ENGINEERING AND TECHNOLOGY,9623,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1076,336
UDAYA SCHOOL OF ENGINEERING,9626,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1329,204
Universal College of Engineering and Technology Vallioor ,9627,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XX : Tirunelveli-II,5.0,572,108
"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",9628,University Constituent Colleges,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1469,334
Vins Christian College of engineering,9629,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,197,52
VINS CHRISTIAN  WOMEN'S COLLEGE OF ENGINEERING  CHUNKANKADI,9630,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,31,0
"PET ENGINEERING COLLEGE, VALLIOOR",9632,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUNELVELI,Zone XX : Tirunelveli-II,5.0,692,173
ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY,9633,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XX : Tirunelveli-II,5.0,2240,553
SIGMA COLLEGE OF ARCHITECTURE,9634,Architecture,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,124,0
STELLA MARY'S COLLEGE OF ENGINEERING,9635,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,1000,326
LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY,9636,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,175,67
GOOD SHEPHERD COLLEGE OF ENGINEERING & TECHNOLOGY,9638,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XVII : Nagercoil,5.0,260,108
Sun College of Engineering and Technology ,9639,Affilated Non - Autonomous,ANNA UNIVERSITY,KANYAKUMARI,Zone XXII : Madurai,5.0,8,8
Demo college,123456789,,,PUDUKKOTTAI,Zone XVII : Nagercoil,5.0,1,1
