College Name,College Code,Category Name,University,District,Zone,Group,Total No of students,1st year
MISRIMAL NAVAJEE MUNOTH JAIN SCHOOL OF ARCHITECTURE,3131,Architecture,ANNA UNIVERSITY,CHENGALPATTU,Zone III : Chennai-III,1.0,54,6
Panimalar engineering college Chennai city campus,3135,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,Zone I : Chennai-I,1.0,362,362
ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY,4101,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,1008,286
ARM COLLEGE OF ENGINEERING AND TECHNOLOGY,4103,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone IV : MIT - Chromepet,1.0,99,30
Dhaanish Ahmed College of Engineering ,4106,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,895,323
DHANALAKSHMI COLLEGE OF ENGINEERING,4107,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,1077,292
G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,4108,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone IV : MIT - Chromepet,1.0,291,33
NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,4114,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone IV : MIT - Chromepet,1.0,690,212
PERI INSTITUTE OF TECHNOLOGY,4115,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone IV : MIT - Chromepet,1.0,1071,284
Prince Dr.K.Vasudevan College of Engineering and Technology,4116,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone IV : MIT - Chromepet,1.0,363,107
PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE,4117,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,775,185
RRASE COLLEGE OF ENGINEERING,4118,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,926,191
SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING,4119,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone V : Tindivanam,2.0,41,0
Sri Krishna Engineering College,4120,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,79,22
SRI KRISHNA INSTITUTE OF TECHNOLOGY,4121,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,52,1
SRI RAMANUJAR ENGINEERING COLLEGE,4123,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone IV : MIT - Chromepet,1.0,673,179
Sri Sai Ram Institute of Technology ,4124,Affilated Autonomous,ANNA UNIVERSITY,CHENGALPATTU,,,2646,947
Sri Sairam Engineering College,4125,Affilated Autonomous,ANNA UNIVERSITY,CHENGALPATTU,,,4943,1467
SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,4126,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,456,131
Tagore Engineering College ,4127,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone IV : MIT - Chromepet,1.0,685,237
SRM VALLIAMMAI ENGINEERING COLLEGE,4128,Affilated Autonomous,ANNA UNIVERSITY,CHENGALPATTU,,,2118,0
VI INSTITUTE OF TECHNOLOGY,4129,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone V : Tindivanam,2.0,88,0
ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,4130,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,Zone IV : MIT - Chromepet,1.0,431,84
A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,4201,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,Zone XXI : Villupuram,5.0,1024,296
A.R. ENGINEERING COLLEGE,4203,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,257,68
ADHIPARASAKTHI ENGINEERING COLLEGE,4204,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone V : Tindivanam,2.0,967,256
ANNAI TERESA COLLEGE OF ENGINEERING,4206,Affilated Non - Autonomous,ANNA UNIVERSITY,KALLAKURICHI,Zone XXI : Villupuram,5.0,648,78
C.K. COLLEGE OF ENGINEERING & TECHNOLOGY,4207,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,1119,317
Chendu College of Engineering and Technology,4208,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone V : Tindivanam,2.0,144,15
Quannta school of software engineering,4210,Affilated Non - Autonomous,,VILUPPURAM,,,24,24
IFET COLLEGE OF ENGINEERING,4211,Affilated Autonomous,ANNA UNIVERSITY,VILUPPURAM,,,1084,0
KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY,4212,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,Zone V : Tindivanam,2.0,1090,348
KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,4213,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,864,247
Mailam engineering college,4216,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,1902,663
SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,4218,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,216,123
SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,4220,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,439,62
St. Anne's College of Engineering and Technology,4221,Affilated Non - Autonomous,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,508,170
Surya Group of Institutions ,4222,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,693,184
THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,4223,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVANNAMALAI,Zone V : Tindivanam,2.0,490,141
"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",4224,University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone V : Tindivanam,2.0,663,188
"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",4225,University Constituent Colleges,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,855,186
UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,4226,University Constituent Colleges,ANNA UNIVERSITY,CUDDALORE,Zone XXI : Villupuram,5.0,751,187
V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,4227,Affilated Non - Autonomous,ANNA UNIVERSITY,VILUPPURAM,Zone XXI : Villupuram,5.0,820,272
